ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,snapped_x_3857,snapped_y_3857,offset_to_route_m,dist_along_m,route_length_m,match_radius_m,match_candidates_k,start_window_m,end_window_m,x_3857_generated,y_3857_generated,dist_along_m_generated
1398086,2500,2500,2500,2500.0,2500,638,635.44,596.86,676.86,1,45.42762,12.357729,3.87,170126,10503100,14,1375656.09964127,5689094.608554609,1375652.206644246,5689091.56010364,4.944540336505196,3535,3691.012503986353,35,20,250,250,1376066.8440703533,5688858.663795709,1721.4701902502543
1402442,2500,2500,2500,2500.0,2500,638,635.52,596.83,676.83,1,45.427585,12.35776,2.91,170126,10503500,14,1375659.5505454843,5689089.056934576,1375656.633201958,5689086.139828891,4.125578605274971,3535,3691.012503986353,35,20,250,250,1376073.303664612,5688854.818799126,1728.9875273255827
1406819,2500,2500,2500,2500.0,2500,634,635.69,596.81,676.81,1,45.427556,12.357796,3.35,170126,10503900,14,1375663.558047153,5689084.45702344,1375660.4273942823,5689081.493879106,4.310592968658513,3535,3691.012503986353,35,20,250,250,1376079.313524084,5688850.308447847,1736.5048644009114
1411204,2500,2500,2500,2500.0,2500,635,636.23,596.8,676.8,1,45.427516,12.357826,3.19,170126,10504400,14,1375666.8976318769,5689078.112322303,1375663.7224899756,5689076.503503426,3.5594696614240644,3535,3691.012503986353,35,20,250,250,1376085.1610203383,5688845.588275858,1744.02220147624
1415576,2500,2500,2500,2500.0,2500,634,636.21,596.78,676.78,1,45.427495,12.357855,1.83,170126,10504800,14,1375670.1258971095,5689074.781356006,1375666.2204339416,5689072.173733885,4.695991447984852,3535,3691.012503986353,35,20,250,250,1376090.8949215391,5688840.72692484,1751.5395385515687
1419873,2500,2500,2500,2500.0,2500,640,636.14,596.76,676.76,1,45.427455,12.357892,3.93,170126,10505300,14,1375674.2447182692,5689068.436661727,1375670.8959712142,5689065.754934216,4.290194550515781,3535,3691.012503986353,35,20,250,250,1376096.8671319399,5688836.166453446,1759.0568756268974
1424328,2500,2500,2500,2500.0,2500,638,636.65,596.75,676.75,1,45.427459,12.357946,3.57,170126,10505700,14,1375680.255970772,5689069.071130953,1375673.6170119229,5689062.828045286,9.11328114560768,3535,3691.012503986353,35,20,250,250,1376103.755609457,5688836.723695699,1766.5742127022259
1428665,2500,2500,2500,2500.0,2500,636,636.27,596.74,676.74,1,45.42745,12.357999,3.94,170126,10510100,14,1375686.155903784,5689067.643575258,1375684.4280587584,5689055.114223303,12.64792903319828,3535,3691.012503986353,35,20,250,250,1376110.0873090671,5688840.746073929,1774.0915497775545
1432957,2500,2500,2500,2500.0,2500,635,635.36,596.71,676.71,1,45.427433,12.35806,3.83,170126,10510600,14,1375692.9463927224,5689064.947081788,1375694.3873482046,5689055.822645788,9.237515089371035,3535,3691.012503986353,35,20,250,250,1376116.9567385013,5688843.799153677,1781.6088868528832
1437308,2500,2500,2500,2500.0,2500,633,635.33,596.68,676.68,1,45.427427,12.358111,3.44,170126,10511000,14,1375698.6236867527,5689063.995378406,1375699.3572742485,5689056.357868593,7.672659692146895,3535,3691.012503986353,35,20,250,250,1376123.59943864,5688847.3043636065,1789.1262239282119
1441708,2500,2500,2500,2500.0,2500,632,634.28,596.64,676.64,1,45.427417,12.358159,3.22,170126,10511400,14,1375703.967022311,5689062.409206324,1375704.2985469913,5689057.082364524,5.337148319183818,3535,3691.012503986353,35,20,250,250,1376130.179730903,5688850.933902781,1796.6435610035405
1446050,2500,2500,2500,2500.0,2500,633,634.36,596.6,676.6,1,45.427388,12.358207,2.59,170126,10511900,14,1375709.3103578691,5689057.809308879,1375709.2041978044,5689058.042165769,0.2559146159232457,3535,3691.012503986353,35,20,250,250,1376137.0551160732,5688853.973546752,1804.160898078869
1450368,2500,2500,2500,2500.0,2500,632,634.63,596.55,676.55,1,45.427383,12.358252,2.24,170126,10512300,14,1375714.3197349547,5689057.016223352,1375714.1215827682,5689058.935851588,1.929828192254456,3535,3691.012503986353,35,20,250,250,1376143.7488543952,5688857.375563528,1811.6782351541976
1454720,2500,2500,2500,2500.0,2500,639,635.57,596.52,676.52,1,45.427382,12.3583,2.74,170126,10512700,14,1375719.6630705127,5689056.857606255,1375719.0579110233,5689059.7228024695,2.9284069650078086,3535,3691.012503986353,35,20,250,250,1376150.2864158526,5688861.086309876,1819.1955722295263
1459036,2500,570,2500,2500.0,570,635,635.89,596.5,676.5,1,45.42738,12.358322,0.0,170126,10513200,14,1375722.1120993102,5689056.540372069,1375721.0324423253,5689060.037582822,3.660074078071574,3535,3691.012503986353,35,20,250,250,1376157.4545383828,5688862.88017014,1826.712909304855
1463385,2500,958,2500,2500.0,958,641,635.87,596.47,676.47,1,45.427379,12.358332,0.0,170126,10513600,14,1375723.2252942182,5689056.38175498,1375723.0069736275,5689060.352363175,3.976605752827589,3535,3691.012503986353,35,20,250,250,1376164.7783071294,5688864.300992751,1834.2302463801836
1467741,2500,2500,2500,2500.0,2500,636,636.22,596.45,676.45,1,45.427393,12.35837,3.26,170126,10514000,14,1375727.4554348683,5689058.602394477,1375726.9560362317,5689060.98192388,2.4313698147954725,3535,3691.012503986353,35,20,250,250,1376168.9450307349,5688870.161687489,1841.747583455512
1472166,2500,2500,2500,2500.0,2500,634,635.3,596.44,676.44,1,45.427421,12.358437,2.57,170126,10514500,13,1375734.9138407514,5689063.043675124,1375734.9147917998,5689061.762691216,1.2809842611481288,3535,3691.012503986353,35,20,250,250,1376172.2769033096,5688876.900306179,1849.2649205308408
1476590,2500,2500,2500,2500.0,2500,637,635.28,596.41,676.41,1,45.427464,12.358486,5.13,170126,10514900,13,1375740.3684958,5689069.864217548,1375741.830155873,5689062.753722863,7.2591724615141855,3535,3691.012503986353,35,20,250,250,1376175.6087758844,5688883.638924869,1856.7822576061694
1480944,2500,2500,2500,578.0,578,645,636.58,596.39,676.39,1,45.427511,12.358569,4.09,170126,10515400,13,1375749.608013536,5689077.3192349775,1375751.635158647,5689064.67007075,12.810568799320537,3535,3691.012503986353,35,20,250,250,1376179.5146108305,5688890.054854489,1864.299594681498
1485255,2500,2500,2500,509.0,509,636,636.61,596.38,676.38,1,45.427541,12.358606,2.07,170126,10515800,13,1375753.7268346956,5689082.077759987,1375757.5842342272,5689065.437693405,17.081315727797723,3535,3691.012503986353,35,20,250,250,1376183.330534055,5688896.525012071,1871.8169317568265
1489602,2500,2500,2500,2500.0,2500,633,634.75,596.36,676.36,1,45.427563,12.358644,1.93,170126,10520200,13,1375757.9569753455,5689085.567346601,1375774.636887163,5689078.028130075,18.30462357058268,3535,3691.012503986353,35,20,250,250,1376186.7732702657,5688903.206177668,1879.3342688321552
1494009,2500,2500,2500,282.0,282,635,634.63,596.32,676.32,1,45.427584,12.358723,2.13,170126,10520700,13,1375766.7512151182,5689088.898316911,1375777.4762150585,5689085.505026867,11.24900177998983,3535,3691.012503986353,35,20,250,250,1376190.050536516,5688909.967237713,1886.8516059074839
1498400,2500,2500,2500,2500.0,2500,635,634.39,596.29,676.29,1,45.427571,12.358781,3.39,170126,10521100,13,1375773.2077455844,5689086.836287525,1375777.1212990717,5689084.570414768,4.522176494415452,3535,3691.012503986353,35,20,250,250,1376193.9181745334,5688916.413301075,1894.3689429828125
1502834,2500,2500,2500,2500.0,2500,635,635.49,596.25,676.25,1,45.427576,12.35886,3.59,170126,10521600,13,1375782.001985357,5689087.629375693,1375779.3087644666,5689089.033096503,3.037082625531103,3535,3691.012503986353,35,20,250,250,1376197.6372596775,5688922.946002323,1901.8862800581412
1507165,2500,2500,2500,2500.0,2500,635,634.76,596.22,676.22,1,45.427584,12.358921,2.69,170126,10522000,14,1375788.7924742957,5689088.898316911,1375788.5684682636,5689097.279149364,8.383825576453585,3535,3691.012503986353,35,20,250,250,1376195.9258223872,5688927.920334374,1909.4036171334697
1511543,2500,2500,2500,2500.0,2500,633,634.5,596.19,676.19,1,45.427582,12.358992,6.83,170126,10522400,14,1375796.6961581418,5689088.581081591,1375798.3084878982,5689095.065260504,6.681630297233387,3535,3691.012503986353,35,20,250,250,1376189.0984375628,5688931.066245985,1916.9209542087983
1515961,2500,2500,2500,2500.0,2500,636,635.52,596.16,676.16,1,45.427593,12.359054,1.67,170126,10522900,14,1375803.5979665709,5689090.325875994,1375804.2639740782,5689094.396185754,4.1244378456475,3535,3691.012503986353,35,20,250,250,1376182.2754991585,5688934.221854997,1924.438291284127
1520378,280,2500,2500,2500.0,280,632,634.61,596.14,676.14,1,45.427593,12.359107,4.06,170126,10523300,14,1375809.4978995828,5689090.325875994,1375810.0409699131,5689092.973717585,2.7029595773372974,3535,3691.012503986353,35,20,250,250,1376175.3773100255,5688937.180133466,1931.9556283594557
1524752,2500,2500,2500,2500.0,2500,627,636.06,596.13,676.13,1,45.427588,12.359157,4.59,170126,10523700,14,1375815.0638741225,5689089.532787587,1375815.7956233183,5689091.2811724655,1.8953381152090365,3535,3691.012503986353,35,20,250,250,1376168.3807238203,5688939.875326095,1939.4729654347843
1529210,2500,2500,2500,2500.0,2500,638,635.6,596.13,676.13,1,45.427588,12.359236,2.76,170126,10524200,14,1375823.8581138952,5689089.532787587,1375822.9646427173,5689087.791702302,1.956953937438551,3535,3691.012503986353,35,20,250,250,1376161.5694414775,5688943.055898303,1946.9903025101128
1533631,205,169,2500,2500.0,169,635,635.17,596.11,676.11,1,45.427593,12.359263,0.0,170126,10524600,14,1375826.8637401466,5689090.325875994,1375824.733365008,5689086.859286045,4.068875041805578,3535,3691.012503986353,35,20,250,250,1376154.7440047336,5688946.206099877,1954.5076395854414
1538077,2500,2500,2500,2500.0,2500,636,635.33,596.1,676.1,1,45.427602,12.359292,2.19,170126,10525100,14,1375830.0920053795,5689091.753435305,1375827.3924081442,5689085.471959191,6.837014509486014,3535,3691.012503986353,35,20,250,250,1376147.953602989,5688949.430727392,1962.02497666077
1542585,2500,2500,2500,339.0,339,633,634.56,596.07,676.07,1,45.427597,12.359341,2.06,170126,10525500,14,1375835.5466604286,5689090.9603467705,1375831.8241467047,5689083.159747768,8.64328949063251,3535,3691.012503986353,35,20,250,250,1376140.9479832766,5688952.150621929,1969.5423137360988
1546982,2500,2500,2500,2500.0,2500,634,634.87,596.05,676.05,1,45.427584,12.359414,3.94,170126,10530000,14,1375843.6729832564,5689088.898316911,1375838.9962355297,5689079.622354188,10.388236315460304,3535,3691.012503986353,35,20,250,250,1376134.1461561006,5688955.351481778,1977.0596508114274
