ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,x_3857_generated,y_3857_generated,dist_along_m_generated
252392,2500,2500,2500,81,81,326,326.88,306.52,386.52,0,0,0,0,0,0,0,0,0,1375755.5659711119,5690049.966748239,297.79459133399956
253862,235,2500,41,95,41,327,326.73,306.37,386.37,0,0,0,0,0,0,0,0,0,1375754.7230737074,5690051.652543047,299.6793672285186
255569,2500,2500,2500,98,98,327,326.86,306.17,386.17,0,0,0,0,0,0,0,0,0,1375753.8801763027,5690053.338337856,301.5641431230376
256724,2500,2500,2500,80,80,327,327.17,305.98,385.98,0,0,0,0,0,0,0,0,0,1375753.0372788983,5690055.024132665,303.44891901755653
257752,246,2500,57,82,57,327,327.05,305.91,385.91,0,0,0,0,0,0,0,0,0,1375752.1710164696,5690056.6977991685,305.33369491207554
258760,208,2500,49,77,49,329,327.06,305.83,385.83,0,0,0,0,0,0,0,0,0,1375751.2774445515,5690058.357289873,307.2184708065945
259969,225,2500,45,99,45,326,326.85,305.64,385.64,0,0,0,0,0,0,0,0,0,1375750.3838726333,5690060.0167805785,309.1032467011135
261150,2500,2500,49,86,49,323,326.19,305.45,385.45,0,0,0,0,0,0,0,0,0,1375749.4900040966,5690061.676109039,310.98802259563246
262408,2500,2500,47,79,47,327,326.09,305.26,385.26,0,0,0,0,0,0,0,0,0,1375748.5746760066,5690063.323699601,312.87279849015147
263610,282,2500,45,64,45,325,325.64,305.11,385.11,0,0,0,0,0,0,0,0,0,1375747.6593479165,5690064.971290164,314.7575743846705
264616,373,2500,47,80,47,327,325.69,304.95,384.95,0,0,0,0,0,0,0,0,0,1375746.7108635851,5690066.599730876,316.64235027918943
265871,2500,2500,51,87,51,324,325.31,304.76,384.76,0,0,0,0,0,0,0,0,0,1375745.7411543874,5690068.215912872,318.52712617370844
266876,2500,2500,59,82,59,327,325.01,304.6,384.6,0,0,0,0,0,0,0,0,0,1375744.7714451896,5690069.832094869,320.4119020682274
267878,518,2500,91,86,86,324,324.56,304.44,384.44,0,0,0,0,0,0,0,0,0,1375743.8194935126,5690071.458782857,322.2966779627464
268902,2500,2500,2500,91,91,326,324.23,304.28,384.28,0,0,0,0,0,0,0,0,0,1375743.2792352256,5690073.1292001335,324.18145385726535
269906,2500,2500,51,85,51,325,324.19,304.12,384.12,0,0,0,0,0,0,0,0,0,1375744.0179843213,5690074.81482399,326.06622975178436
271165,2500,2500,2500,82,82,324,323.7,304,384,0,0,0,0,0,0,0,0,0,1375745.5211672478,5690075.951846972,327.9510056463034
272172,2500,2500,2500,88,88,324,323.4,303.92,383.92,0,0,0,0,0,0,0,0,0,1375747.0243501742,5690077.088869954,329.8357815408223
273394,2500,2500,2500,89,89,319,322.81,303.79,383.79,0,0,0,0,0,0,0,0,0,1375748.5931674184,5690078.115021313,331.72055743534133
274889,2500,2500,2500,94,94,321,322.06,303.62,383.62,0,0,0,0,0,0,0,0,0,1375750.3130429965,5690078.88600002,333.6053333298603
276377,2500,2500,48,86,48,321,322.09,303.45,383.45,0,0,0,0,0,0,0,0,0,1375752.043921876,5690079.63130274,335.4901092243793
277891,2500,2500,2500,88,88,320,322.02,303.28,383.28,0,0,0,0,0,0,0,0,0,1375753.7883704684,5690080.344940801,337.37488511889825
279573,2500,2500,2500,97,97,320,321.37,303.06,383.06,0,0,0,0,0,0,0,0,0,1375755.5328190606,5690081.058578862,339.25966101341726
280724,2500,2500,51,93,51,322,321.34,302.85,382.85,0,0,0,0,0,0,0,0,0,1375757.2887449,5690081.743144014,341.14443690793627
