ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,snapped_x_3857,snapped_y_3857,offset_to_route_m,dist_along_m,route_length_m,route_step_m,route_source_crs_epsg,time_col_used,head_points,tail_points,start_prior_max,end_prior_max,x_3857_generated,y_3857_generated,dist_along_m_generated
2258016,2500,2500,489,2500,489,333,338.64,338.64,422.82,1,45.43327,12.353955,4.13,170126,14200100,17,1375235.979883016,5689990.843779931,1375233.3328266807,5689967.372252445,23.62031984909717,195.5,722.2900608855213,0.5,3857,ms,0,1445,,,1375179.9922006752,5689971.863681525,2702.826575109668
2259468,2500,2500,577,2500,577,334,337.53,337.53,422.15,1,45.433264,12.353983,4.46,170126,14200300,16,1375239.0968287585,5689989.89197812,1375236.308795323,5689967.000256364,23.06087716027117,198.5,722.2900608855213,0.5,3857,ms,0,1445,,,1375181.9011793372,5689971.719361096,2704.742114851064
2260949,2500,919,400,2500,400,336,337.17,337.17,421.47,1,45.433263,12.353996,3.48,170126,14200400,16,1375240.5439821386,5689989.733344495,1375237.796779644,5689966.814258324,23.0831460696916,200.0,722.2900608855213,0.5,3857,ms,0,1445,,,1375183.807579129,5689971.532459155,2706.65765459246
2262462,2500,2500,508,2500,508,335,335.86,335.86,420.79,1,45.433261,12.354023,3.78,170126,14200600,16,1375243.5496083898,5689989.416077254,1375240.772748286,5689966.442262244,23.14102694758416,203.0,722.2900608855213,0.5,3857,ms,0,1445,,,1375185.7139789206,5689971.345557215,2708.573194333856
2263946,2500,2500,2500,2500,2500,337,335.55,335.28,420.11,1,45.433259,12.354037,3.76,170126,14200700,16,1375245.1080812612,5689989.098810023,1375241.7636671793,5689966.310648185,23.032269221313125,204.0,722.2900608855213,0.5,3857,ms,0,1445,,,1375187.6203787122,5689971.158655275,2710.4887340752516
2265365,2500,2500,2500,2500,2500,337,336.39,335.28,419.44,1,45.433267,12.354064,5.11,170126,14200900,16,1375248.1137075124,5689990.3678790135,1375244.726842011,5689965.847652119,24.75302779257789,207.0,722.2900608855213,0.5,3857,ms,0,1445,,,1375189.5267785038,5689970.971753334,2712.4042738166477
2266828,2500,2500,643,2500,643,341,337.6,335.3,418.78,1,45.433265,12.354076,3.2,170126,14201000,16,1375249.4495414018,5689990.050611748,1375245.714566955,5689965.693320096,24.641990398061075,208.0,722.2900608855213,0.5,3857,ms,0,1445,,,1375191.4331782954,5689970.784851394,2714.3198135580437
2268306,2500,2500,2500,2500,2500,342,338.82,335.32,418.14,1,45.433253,12.354104,4.72,170126,14201200,16,1375252.5664871442,5689988.147008397,1375249.171604259,5689965.153158017,23.243114788429327,211.5,722.2900608855213,0.5,3857,ms,0,1445,,,1375193.3354561692,5689970.560554939,2716.2353532994393
2269703,2500,2500,386,2500,386,342,340.08,335.36,417.51,1,45.433247,12.354117,3.89,170126,14201300,16,1375254.0136405246,5689987.195206873,1375250.653191675,5689964.921659984,22.52561891505533,213.0,722.2900608855213,0.5,3857,ms,0,1445,,,1375195.2367948436,5689970.327737959,2718.1508930408354
2271138,2500,2500,389,2500,389,343,340.72,335.4,416.9,1,45.43324,12.354132,4.57,170126,14201400,16,1375255.6834328864,5689986.084771889,1375253.1225040348,5689964.535829927,21.700581934195625,215.5,722.2900608855213,0.5,3857,ms,0,1445,,,1375197.138133518,5689970.094920978,2720.0664327822315
