ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,snapped_x_3857,snapped_y_3857,offset_to_route_m,dist_along_m,route_length_m,route_step_m,route_source_crs_epsg,x_3857_generated,y_3857_generated,dist_along_m_generated
2191640,2500,2500,2500,503,503,497,492.06,474.41,554.41,1,45.430029,12.355147,3.26,170126,15164000,11,1375368.6727160416,5689476.726903243,1375373.9550803087,5689471.389821416,7.509182024789281,10.0,3477.6786293824302,0.5,3857,1375367.5045217795,5689468.45080954,2628.667884181089
2193102,2500,2500,2500,2500,2500,485,491.16,474.23,554.23,1,45.430046,12.355156,3.13,170126,15164200,11,1375369.6745914586,5689479.423520732,1375375.6627653004,5689475.363392979,7.234836786557397,10.0,3477.6786293824302,0.5,3857,1375369.3617272899,5689469.296991933,2630.708775395515
2194548,2500,2500,2500,2500,2500,490,490.6,474.04,554.04,1,45.430051,12.355161,2.06,170126,15164300,11,1375370.2311889129,5689480.216643677,1375375.776936486,5689478.3606522,5.84807836041045,10.0,3477.6786293824302,0.5,3857,1375371.2189328,5689470.143174326,2632.7496666099414
2196005,2500,2500,2500,2500,2500,491,490.37,473.85,553.85,1,45.430053,12.355161,0.0,170126,15164500,11,1375370.2311889129,5689480.5338928765,1375375.8960706976,5689479.353437295,5.786567291065783,10.0,3477.6786293824302,0.5,3857,1375373.0761383104,5689470.989356718,2634.7905578243676
2197464,2500,2500,2500,2500,2500,489,489.73,473.66,553.66,1,45.430054,12.355162,0.0,170126,15164600,11,1375370.3425084036,5689480.692517479,1375375.9556378033,5689479.849829843,5.676032426730656,10.0,3477.6786293824302,0.5,3857,1375374.9333438207,5689471.835539111,2636.831449038794
2198955,2500,2500,2500,2500,2500,488,488.99,473.47,553.47,1,45.430074,12.355161,3.52,170126,15164800,11,1375370.2311889129,5689483.865010131,1375376.313040438,5689482.828185131,6.169596749658905,10.0,3477.6786293824302,0.5,3857,1375375.5955357074,5689473.480964373,2638.8723402532205
2200432,2500,2500,2500,2500,2500,488,488.73,473.27,553.27,1,45.430087,12.35516,4.02,170126,15164900,11,1375370.1198694217,5689485.927130959,1375376.5817922435,5689484.809640975,6.55783732796862,10.0,3477.6786293824302,0.5,3857,1375375.6683782383,5689475.520555243,2640.9132314676467
2201864,2500,2500,2500,2500,2500,487,488.53,473.08,553.08,1,45.430108,12.355157,3.54,170126,15165100,11,1375369.7859109496,5689489.258250222,1375377.0994186115,5689488.270813312,7.379866257196188,10.0,3477.6786293824302,0.5,3857,1375375.7412207695,5689477.560146112,2642.954122682073
2203258,2500,2500,2500,2500,2500,488,488.66,472.88,552.88,1,45.430118,12.355158,3.8,170126,15165200,11,1375369.8972304403,5689490.844497924,1375377.2976458736,5689489.757517777,7.47981780690933,10.0,3477.6786293824302,0.5,3857,1375375.9245957904,5689479.591146403,2644.995013896499
2204639,2500,2500,2500,2500,2500,488,488.78,472.69,552.69,1,45.430126,12.355161,3.26,170126,15165300,11,1375370.2311889129,5689492.113496289,1375377.4958731355,5689491.244222243,7.316506968761814,10.0,3477.6786293824302,0.5,3857,1375376.1677582245,5689481.61750002,2647.035905110926
2206112,2500,2500,2500,2500,2500,490,489.14,472.5,552.5,1,45.43015,12.355161,4.96,170126,15165500,11,1375370.2311889129,5689495.920492464,1375378.0117910432,5689495.210269311,7.812949919079651,10.0,3477.6786293824302,0.5,3857,1375376.4109206584,5689483.643853636,2649.076796325352
2207490,2500,2500,2500,2500,2500,488,488.83,472.31,552.31,1,45.43016,12.355163,3.7,170126,15165600,11,1375370.4538278943,5689497.506741348,1375378.2690151508,5689497.696769019,7.817497193518456,10.0,3477.6786293824302,0.5,3857,1375376.7097501757,5689485.662693857,2651.117687539778
2208929,2500,2500,2500,2500,2500,487,488.2,472.12,552.12,1,45.430174,12.355164,3.22,170126,15165800,11,1375370.5651473852,5689499.7274902575,1375378.4549623006,5689501.648398013,8.120287310400828,10.0,3477.6786293824302,0.5,3857,1375377.0124969028,5689487.681005372,2653.1585787542044
2210352,2500,2500,2500,2500,2500,488,487.9,471.93,551.93,1,45.43018,12.355165,1.98,170126,15165900,11,1375370.676466876,5689500.679239957,1375378.122172936,5689502.591301213,7.687295817050344,10.0,3477.6786293824302,0.5,3857,1375377.2903558258,5689489.702842418,2655.1994699686306
2211832,2500,2500,2500,2500,2500,485,487.38,471.74,551.74,1,45.430197,12.355171,2.78,170126,15170100,11,1375371.344383821,5689503.375864661,1375377.4565942062,5689504.477107613,6.210624109799423,10.0,3477.6786293824302,0.5,3857,1375377.560087601,5689491.725830732,2657.2403611830573
2213310,2500,2500,2500,522,522,487,487.03,471.54,551.54,1,45.430205,12.355179,4.02,170126,15170200,11,1375372.2349397468,5689504.644864802,1375377.4565942062,5689504.477107613,5.224348549577292,10.0,3477.6786293824302,0.5,3857,1375377.8298193763,5689493.748819046,2659.2812523974835
2214709,2500,2500,2500,462,462,488,486.33,471.34,551.34,1,45.430219,12.355193,3.44,170126,15170400,11,1375373.793412618,5689506.865615482,1375377.3070614294,5689507.451216533,3.56211405756764,10.0,3477.6786293824302,0.5,3857,1375378.0702400892,5689495.775276756,2661.3221436119097
2216124,2500,2500,2500,465,465,487,485.78,471.13,551.13,1,45.430229,12.355194,4.09,170126,15170500,11,1375373.9047321086,5689508.4518663045,1375377.068496468,5689510.409616599,3.720509526537091,10.0,3477.6786293824302,0.5,3857,1375378.2802460627,5689497.805334499,2663.363034826336
2217528,2500,2500,2500,2500,2500,485,485.35,470.93,550.93,1,45.430238,12.355188,4.2,170126,15170600,11,1375373.236815164,5689509.879492287,1375377.3070614294,5689509.451031731,4.092735406456576,10.0,3477.6786293824302,0.5,3857,1375378.4902520361,5689499.835392242,2665.4039260407626
2218941,2500,2500,2500,2500,2500,481,484.58,470.72,550.72,1,45.430251,12.355184,3.04,170126,15170800,11,1375372.791537201,5689511.941619105,1375376.22773317,5689512.763753833,3.53317820785278,10.0,3477.6786293824302,0.5,3857,1375378.3912948517,5689501.828789118,2667.444817255189
2220388,2500,2500,2500,2500,2500,483,484.03,470.51,550.51,1,45.430258,12.355185,2.15,170126,15170900,11,1375372.9028566915,5689513.051995281,1375375.8914278508,5689513.705408727,3.05916764909331,10.0,3477.6786293824302,0.5,3857,1375377.7120451974,5689503.753329805,2669.485708469615
2221823,2500,2500,2500,2500,2500,483,483.53,470.3,550.3,1,45.430276,12.355173,4.93,170126,15171100,11,1375371.5670228023,5689515.9072489375,1375375.0428838893,5689516.566141673,3.537760581680695,10.0,3477.6786293824302,0.5,3857,1375377.3070614294,5689505.724850244,2671.5265996840412
2223301,2500,2500,2500,2500,2500,481,482.92,470.08,550.08,1,45.43029,12.35517,4.48,170126,15171200,11,1375371.2330643295,5689518.128002411,1375374.8036249825,5689519.054434304,3.6887910526044414,10.0,3477.6786293824302,0.5,3857,1375377.3070614294,5689507.765741458,2673.5674908984674
2224764,2500,2500,2500,2500,2500,482,482.59,469.86,549.86,1,45.430326,12.355173,7.93,170126,15171400,11,1375371.5670228023,5689523.838513872,1375374.325107169,5689524.031019566,2.764794353399137,10.0,3477.6786293824302,0.5,3857,1375377.2852002475,5689509.802846015,2675.608382112894
2226253,2500,2500,2500,2500,2500,483,482.14,469.64,549.64,1,45.430338,12.355175,5.26,170126,15171500,11,1375371.7896617835,5689525.742018501,1375374.1337000437,5689526.021653671,2.360659059072947,10.0,3477.6786293824302,0.5,3857,1375376.59877425,5689511.724838809,2677.6492733273203
2227616,2500,2500,2500,2500,2500,481,481.99,469.42,549.42,1,45.43035,12.35518,5.54,170126,15171600,11,1375372.3462592375,5689527.645523535,1375373.8321332391,5689527.992307282,1.525804874777493,10.0,3477.6786293824302,0.5,3857,1375375.912348252,5689513.646831603,2679.6901645417465
2229056,2500,2500,2500,2500,2500,480,481.45,469.2,549.2,1,45.430374,12.355195,4.94,170126,15171800,11,1375374.0160515998,5689531.452534821,1375372.9223101584,5689531.371650153,1.0967281660070298,10.0,3477.6786293824302,0.5,3857,1375375.2259222541,5689515.5688243965,2681.7310557561727
