place_id,place_title,avg_sentiment,review_count,lat,lng,geometry,x_3857,y_3857
ChIJT9eknfmvfkcReE1-ixjXCEI,Bella Vida Hair & Beauty - Venezia,0.0,1,45.4105847,12.3666271,POINT (12.366627099999999 45.4105847),1376646.6316022975,5686392.914968374
ChIJTYAx2Q60fkcRhTqMCUwPD0g,Bar San Marco,0.397,32,45.4843182,12.2575859,POINT (12.257585899999999 45.4843182),1364508.22074281,5698092.471476851
ChIJT_MPh3-vfkcRxkoWTk4-2es,Panificio Pasticceria Marangon dal 1952,0.9694666666666666,3,45.458598,12.3569286,POINT (12.3569286 45.458597999999995),1375566.999520839,5694009.618701986
ChIJTeuJue-1fkcRjZXggXAFcvk,Supermercato Eurospar Mestre,0.3757,4,45.4913029,12.2381816,POINT (12.238181599999999 45.4913029),1362348.1439476102,5699201.552227754
ChIJTfdxyM6vfkcR4j9BEQF_188,ORTOFRUTTA LIDO di Yamoul Mohammed,-0.2609,2,45.4153758,12.3744181,POINT (12.3744181 45.4153758),1377513.9217550678,5687152.671518815
ChIJTxmGedmxfkcR0jY-Xe8aSq0,Hebella Fashion Leather,0.67574,10,45.4375308,12.3381611,POINT (12.338161099999999 45.4375308),1373477.8109773763,5690666.7755250465
ChIJTyIemGSvfkcRylWCb8j_dbo,Bailo supermercati,0.0436,16,45.4325134,12.3547498,POINT (12.354749799999999 45.4325134),1375324.4566142985,5689870.822369762
ChIJTyg33bGvfkcRY_3BCz8zeDw,Minimarket Coop,0.2779125,8,45.4159437,12.3696742,POINT (12.369674199999999 45.4159437),1376985.8332226935,5687242.731466849
ChIJU4s8VB2ufkcRRWYH2Z3wNgk,Art Cafe & Food,0.8540857142857143,14,45.4523482,12.3504045,POINT (12.3504045 45.452348199999996),1374840.7400309544,5693017.799876607
ChIJUbOcIbCvfkcRYNCaCZ0Mkrg,Parrucchieri By Alberto,0.0,1,45.4135932,12.3700639,POINT (12.3700639 45.4135932),1377029.2144282556,5686869.985267106
ChIJUfx0iauxfkcRIjpdmRIteOs,L.G.R Flagship Store Venezia,0.0,1,45.4354462,12.338453,POINT (12.338453 45.4354462),1373510.3051367386,5690336.068971155
ChIJV-PrrtixfkcRdIL-t7XP96k,Trattoria Bandierette,0.91285,2,45.4386619,12.3436103,POINT (12.3436103 45.4386619),1374084.4131466069,5690846.2213859875
ChIJV-T07fKvfkcRJVv0yL-hIQU,Beauty&therapy,0.0,2,45.4324067,12.3554961,POINT (12.3554961 45.4324067),1375407.5343502774,5689853.896402913
