place_id,place_titl,avg_sentim,review_cou,lat,lng,x_3857,y_3857
ChIJY8vTmtexfkcRLBIbtGmblos,Carta Gate,0.256537500000000,"8",45.434246500000000,12.339820100000001,1373662.490012602182105,5690145.750873013399541
ChIJYQuk5MOxfkcR5OlqXel1QnM,Pizzeria fantasia,0.613640000000000,"5",45.436262999999997,12.320110000000000,1371468.371717117493972,5690465.646865631453693
ChIJYZreoU6xfkcRDILYqsnVE48,Yupi! Store Venezia | Abbigliamento Uomo/Donna | Accessori | Scarpe | Dr.Martens,0.000000000000000,"1",45.436161900000002,12.335172900000000,1373145.166074987500906,5690449.608168022707105
ChIJX7vZ0dCxfkcRZFQ1YBvA6iM,FENDI Venice Store,0.253487500000000,"8",45.433447399999999,12.337010200000000,1373349.693375422153622,5690018.985432522371411
ChIJYfL9Q9uxfkcR5jBQly5ZGh4,Jungle Candy,0.630650000000000,"8",45.437512800000000,12.338362300000000,1373500.208458923501894,5690663.919904316775501
ChIJZ3MTxtmxfkcRBj8O024av2I,Fonderia Artistica Valese,0.675416666666667,"6",45.435308700000000,12.338069900000001,1373467.658639816101640,5690314.256030606105924
ChIJZ5wDtMGxfkcR7AqGm21ZwYI,Gam Gam Goodies,0.648581818181818,"11",45.444405099999997,12.325367300000000,1372053.611676065251231,5691757.419558682478964
ChIJZVKC3e-xfkcRX41yN-IsSrU,POKE a pu¨¤,0.816416666666667,"6",45.435431899999998,12.335285400000000,1373157.689517701510340,5690333.800422861240804
ChIJZeQ1un2xfkcRNH4qPvwAiZs,Bialetti,0.234125000000000,"8",45.436485800000000,12.335777000000000,1373212.414179376093671,5690500.992385734803975
ChIJZxKM0fexfkcRM4GhYMtPqz8,12oz,0.520320000000000,"10",45.441081500000003,12.334365699999999,1373055.308982019079849,5691230.096257150173187
ChIJVzGQxtmxfkcRbg_LzLMnH9k,Ristorante Il Piacere,0.625087500000000,"8",45.433061700000003,12.324747900000000,1371984.660383467795327,5689957.800452966243029
ChIJW17o1M6xfkcRZXpignb2aWE,Ristorante Dallo Zio Santa Margherita,0.963771428571429,"7",45.433836700000001,12.323783900000000,1371877.348394343163818,5690080.741917075589299
ChIJW5Is2tmxfkcRVox5WQxcXSw,UniCredit,-0.228450000000000,"6",45.434954300000001,12.338674599999999,1373534.973535898374394,5690258.034412873908877
ChIJW9rQENqxfkcRN7vDMpQjRMQ,Allianz Venezia Centro Storico,0.090857142857143,"7",45.435958800000002,12.335873100000001,1373223.111982441274449,5690417.388081926852465
ChIJ05J5-ieufkcRxTO77QN6HlQ,SEGRETI DI BELLEZZA beauty & home å¨å°¼æ¯è¾èæ­,0.341887500000000,"8",45.435102399999998,12.336282600000001,1373268.697313920827582,5690281.528787496499717
ChIJZxPIEduxfkcR0GaNDlqjJCU,Chocolate,0.000000000000000,"1",45.438484299999999,12.333989300000001,1373013.408325684955344,5690818.045403162948787
ChIJWXlR0tmxfkcRRBi2DNs71dY,Ristorante Sempione,0.750262500000000,"8",45.436153300000001,12.337791100000000,1373436.622765782754868,5690448.243848878890276
ChIJWdZxAOqxfkcRUkF0JflPDf4,Al Timon,0.711725000000000,"8",45.445554500000000,12.328417900000000,1372393.202914678957313,5691939.790912441909313
ChIJWzojACKxfkcR79yf8qX4UZs,Trattoria e Pizzeira,0.132212500000000,"8",45.432722200000001,12.330277199999999,1372600.179243911057711,5689903.944691753946245
ChIJX4hnY9CxfkcRiGfArd9Vck8,Effe Camicie - Venice Ties,0.000000000000000,"1",45.434644700000000,12.330735199999999,1372651.163570694159716,5690208.920105742290616
ChIJaRylF92xfkcRhnBbKdBPPOI,Vini da Gigio,0.925300000000000,"7",45.441986200000002,12.333755800000000,1372987.415224584285170,5691373.633133964613080
ChIJaSb0QtuxfkcRhcjNEiAIlYM,Trattoria Antica Torre,0.834657142857143,"7",45.439151600000002,12.333544399999999,1372963.882284230785444,5690923.912041272968054
