place_id,place_titl,avg_sentim,review_cou,lat,lng,geometry,x_3857,y_3857,fid,place_id_2,place_ti_1,latitude,longitude,resident,tourist,total_revi,resident_r,tourist_ra
ChIJG0PjSS2wfkcR4_yhPfq6Jdw,Trattoria Ai Cacciatori,0.990100000000000,"2",45.426118000000002,12.327700600000000,POINT (12.3277006 45.426117999999995),1372313.353443932952359,5688856.367842041887343,162,ChIJG0PjSS2wfkcR4_yhPfq6Jdw,Trattoria Ai Cacciatori,45.426118000000002,12.327700600000000,"2","6","8",0.250000000000000,0.750000000000000
ChIJHbND786xfkcRj9nhPj_lHjg,Lanterna Magica Negozio di Giocattoli Venezia,0.492700000000000,"1",45.433230700000003,12.325294200000000,POINT (12.3252942 45.433230699999996),1372045.474221288226545,5689984.609479910694063,169,ChIJHbND786xfkcRj9nhPj_lHjg,Lanterna Magica Negozio di Giocattoli Venezia,45.433230700000003,12.325294200000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJHe_jEduxfkcRhnNhPF66afs,Ristorante Caff¨¨ Saraceno,0.667800000000000,"4",45.437925800000002,12.335238199999999,POINT (12.3352382 45.437925799999995),1373152.435237736441195,5690729.440764847211540,170,ChIJHe_jEduxfkcRhnNhPF66afs,Ristorante Caff¨¨ Saraceno,45.437925800000002,12.335238199999999,"4","12","16",0.250000000000000,0.750000000000000
ChIJIWE8wNmxfkcRVtU71JwCZuI,Campiello San Zulian,0.599400000000000,"1",45.435932899999997,12.338444100000000,POINT (12.3384441 45.4359329),1373509.314393270760775,5690413.279275739565492,176,ChIJIWE8wNmxfkcRVtU71JwCZuI,Campiello San Zulian,45.435932899999997,12.338444100000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJIy8iMNCxfkcRbBixeereDMg,Bacaro e Trattoria da Fiore,0.903850000000000,"2",45.433852399999999,12.330469900000001,POINT (12.330469899999999 45.4338524),1372621.630509787006304,5690083.232490633614361,178,ChIJIy8iMNCxfkcRbBixeereDMg,Bacaro e Trattoria da Fiore,45.433852399999999,12.330469900000001,"2","6","8",0.250000000000000,0.750000000000000
ChIJJ8xRT8-xfkcRe16Z-PdVL3U,Bancomat Unicredit,0.000000000000000,"1",45.435432300000002,12.324967700000000,POINT (12.3249677 45.435432299999995),1372009.128407543990761,5690333.863878750242293,180,ChIJJ8xRT8-xfkcRe16Z-PdVL3U,Bancomat Unicredit,45.435432300000002,12.324967700000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJJ9RRQA-vfkcRqfQ-gpkAEtU,Frutta Verdura,-0.608400000000000,"1",45.435608000000002,12.345483200000000,POINT (12.3454832 45.435607999999995),1374292.903420913498849,5690361.736921266652644,181,ChIJJ9RRQA-vfkcRqfQ-gpkAEtU,Frutta Verdura,45.435608000000002,12.345483200000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJK2YDvCGxfkcRnjgNKZxifOA,Parrucchieri Andya??s Boutique,0.983100000000000,"1",45.440820400000000,12.336557700000000,POINT (12.3365577 45.4408204),1373299.321305838180706,5691188.671374491415918,187,ChIJK2YDvCGxfkcRnjgNKZxifOA,Parrucchieri Andya??s Boutique,45.440820400000000,12.336557700000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJK5_Nd9exfkcRs5NFdiK-NYo,HERM??S Venice Store,0.895700000000000,"1",45.433353500000003,12.336867500000000,POINT (12.3368675 45.433353499999996),1373333.808084086049348,5690004.089698964729905,189,ChIJK5_Nd9exfkcRs5NFdiK-NYo,HERM??S Venice Store,45.433353500000003,12.336867500000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJK6iBP9exfkcRkwD7q8Uwaik,Caff¨¨ Florian,0.974900000000000,"4",45.433609400000002,12.338222999999999,POINT (12.338223 45.433609399999995),1373484.701653856318444,5690044.684200439602137,190,ChIJK6iBP9exfkcRkwD7q8Uwaik,Caff¨¨ Florian,45.433609400000002,12.338222999999999,"4","12","16",0.250000000000000,0.750000000000000
ChIJKSkPZdyxfkcRfRbBCZoU30U,BEPI ANTICO 54 da LORIS,0.986000000000000,"1",45.440804399999998,12.336536499999999,POINT (12.3365365 45.4408044),1373296.961332633392885,5691186.132896915078163,195,ChIJKSkPZdyxfkcRfRbBCZoU30U,BEPI ANTICO 54 da LORIS,45.440804399999998,12.336536499999999,"1","7","8",0.125000000000000,0.875000000000000
ChIJKVRRjMWxfkcR41EuHgNTCYI,Bottega del Caff¨¨ Dersut,0.743175000000000,"8",45.436495999999998,12.326523999999999,POINT (12.326524 45.436496),1372182.374931065365672,5690502.610541253350675,197,ChIJKVRRjMWxfkcR41EuHgNTCYI,Bottega del Caff¨¨ Dersut,45.436495999999998,12.326523999999999,"8","8","16",0.500000000000000,0.500000000000000
ChIJKezuL8OxfkcRicdEQ1XAKQY,Noval Salon,0.941500000000000,"1",45.443539899999998,12.330610399999999,POINT (12.3306104 45.4435399),1372637.270898243645206,5691620.143694839440286,201,ChIJKezuL8OxfkcRicdEQ1XAKQY,Noval Salon,45.443539899999998,12.330610399999999,"1","7","8",0.125000000000000,0.875000000000000
ChIJKw1BaduxfkcRoRCavgDEtMI,Farini,0.535725000000000,"8",45.438346799999998,12.333893200000000,POINT (12.333893199999999 45.4383468),1373002.710522619541734,5690796.231288178823888,202,ChIJKw1BaduxfkcRoRCavgDEtMI,Farini,45.438346799999998,12.333893200000000,"8","8","16",0.500000000000000,0.500000000000000
ChIJL5RmIy2wfkcRTec0EaSDjbY,Trattoria Altanella,0.988200000000000,"1",45.425406700000003,12.328573199999999,POINT (12.3285732 45.425406699999996),1372410.490831599337980,5688743.546739033423364,203,ChIJL5RmIy2wfkcRTec0EaSDjbY,Trattoria Altanella,45.425406700000003,12.328573199999999,"1","7","8",0.125000000000000,0.875000000000000
ChIJLSXSmtixfkcRURR_PbcCfyY,Al Gobbo di Rialto,0.994000000000000,"1",45.438259899999998,12.334059000000000,POINT (12.334059 45.4382599),1373021.167294193059206,5690782.444794923067093,205,ChIJLSXSmtixfkcRURR_PbcCfyY,Al Gobbo di Rialto,45.438259899999998,12.334059000000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJMYhZ3UOxfkcRy9z-DwuMASQ,Bacaro Vintido',0.974800000000000,"1",45.435700699999998,12.326234700000001,POINT (12.326234699999999 45.4357007),1372150.170202379347757,5690376.442881343886256,213,ChIJMYhZ3UOxfkcRy9z-DwuMASQ,Bacaro Vintido',45.435700699999998,12.326234700000001,"1","7","8",0.125000000000000,0.875000000000000
