Y,X,ID,GEOHASH,NUMPOINTS
5689555.67997988,1375025.70182204,"151",u20f3n6,4
5689555.67997988,1372732.59097348,"152",u20f2w7,36
5689773.5221989,1372579.71691691,"153",u20f2wd,54
5691080.68684157,1372732.59097348,"154",u20f885,24
5690644.94408602,1372273.96880377,"155",u20f2x8,67
5690862.81281247,1372121.0947472,"156",u20f2rz,38
5691298.56617368,1372732.59097348,"157",u20f887,22
5690862.81281247,1371968.22069063,"158",u20f2ry,17
5691298.56617368,1371815.34663406,"159",u20f82m,150
5691516.45080921,1373038.33908662,"160",u20f88t,42
5691516.45080921,1372579.71691691,"161",u20f88d,21
5689337.84306121,1372273.96880377,"162",u20f2w0,43
5689773.5221989,1373038.33908662,"163",u20f2wt,37
5692170.13654003,1371968.22069063,"164",u20f83q,19
5689337.84306121,1372579.71691691,"165",u20f2w4,8
5690427.08066181,1372732.59097348,"166",u20f2x7,58
5689555.67997988,1371662.47257749,"167",u20f2qk,33
5690644.94408602,1372121.0947472,"168",u20f2rx,26
5689991.36971864,1372121.0947472,"169",u20f2qz,21
5690427.08066181,1372579.71691691,"170",u20f2x6,39
5692170.13654003,1371662.47257749,"171",u20f83k,4
5691952.23599199,1372121.0947472,"172",u20f83p,54
5688902.18512334,1375790.07210489,"173",u20f3jx,7
5691080.68684157,1371662.47257749,"174",u20f82h,143
5689773.5221989,1373496.96125633,"175",u20f2y8,35
5689337.84306121,1371968.22069063,"176",u20f2qn,16
5689991.36971864,1374414.20559575,"177",u20f2yy,17
5691298.56617368,1371662.47257749,"178",u20f82k,71
5690427.08066181,1371509.59852092,"179",u20f2r7,37
5690644.94408602,1371509.59852092,"180",u20f2re,31
5690427.08066181,1371356.72446435,"181",u20f2r6,8
5690209.22253948,1371203.85040778,"182",u20f2r1,11
5690209.22253948,1371356.72446435,"183",u20f2r4,5
5690427.08066181,1371203.85040778,"184",u20f2r3,15
5690644.94408602,1371356.72446435,"185",u20f2rd,10
5691516.45080921,1372121.0947472,"186",u20f82x,33
5691734.34074851,1372579.71691691,"187",u20f88f,42
5691516.45080921,1373191.21314319,"188",u20f88w,16
5691734.34074851,1373038.33908662,"189",u20f88v,18
5689555.67997988,1371356.72446435,"190",u20f2q6,7
5692388.042393,1371509.59852092,"191",u20f83e,4
5689555.67997988,1371968.22069063,"192",u20f2qq,30
5689337.84306121,1372121.0947472,"193",u20f2qp,19
5689337.84306121,1372426.84286034,"194",u20f2w1,48
5692170.13654003,1371356.72446435,"195",u20f836,16
5690209.22253948,1371662.47257749,"196",u20f2rh,6
5689337.84306121,1372885.46503005,"197",u20f2wh,13
5689991.36971864,1371356.72446435,"198",u20f2qf,4
5689991.36971864,1371509.59852092,"199",u20f2qg,17
5690862.81281247,1374261.33153918,"200",u20f2zv,22
5691952.23599199,1373038.33908662,"201",u20f89j,16
5690862.81281247,1373802.70936947,"202",u20f2zf,48
5691952.23599199,1372885.46503005,"203",u20f89h,36
5692170.13654003,1372273.96880377,"204",u20f892,15
5692170.13654003,1372121.0947472,"205",u20f83r,5
5691952.23599199,1371509.59852092,"206",u20f835,22
5691952.23599199,1371815.34663406,"207",u20f83j,7
5691952.23599199,1371662.47257749,"208",u20f83h,17
5689120.01144248,1372579.71691691,"209",u20f2tf,1
5689773.5221989,1375790.07210489,"210",u20f3nx,3
5690209.22253948,1374872.82776547,"211",u20f3p1,14
5691298.56617368,1372121.0947472,"212",u20f82r,23
5691734.34074851,1371509.59852092,"213",u20f82g,5
5691734.34074851,1371662.47257749,"214",u20f82u,7
5690644.94408602,1371968.22069063,"215",u20f2rw,11
5690862.81281247,1371815.34663406,"216",u20f2rv,47
